Serving Size,nutritions
100 грама съдържат:,"['449', '9', '65', '17'] -> 4 елемента"
100 грама съдържат:,"['447', '8', '65', '17'] -> 4 елемента"
100 грама съдържат:,"['318.50', '7', '64.90', '2.90'] -> 4 елемента"
100 грама съдържат:,"['444', '8', '64', '17'] -> 4 елемента"
100 грама съдържат:,"['448', '8', '65', '17'] -> 4 елемента"
100 грама съдържат:,"['305', '12', '58', '6'] -> 4 елемента"
100 грама съдържат:,"['410', '7', '49', '20'] -> 4 елемента"
100 грама съдържат:,"['400', '8', '49', '19'] -> 4 елемента"
100 грама съдържат:,"['410', '7', '49', '20'] -> 4 елемента"
100 грама съдържат:,"['399', '8', '46', '24'] -> 4 елемента"
100 грама съдържат:,"['375', '10', '50', '15'] -> 4 елемента"
100 грама съдържат:,"['410', '7', '49', '20'] -> 4 елемента"
100 грама съдържат:,"['480', '7', '43', '28'] -> 4 елемента"
100 грама съдържат:,"['440', '5', '52', '23'] -> 4 елемента"
100 грама съдържат:,"['429', '4', '75', '12'] -> 4 елемента"
100 грама съдържат:,"['429', '4.10', '75', '12'] -> 4 елемента"
100 грама съдържат:,"['348', '8', '73', '2'] -> 4 елемента"
100 грама съдържат:,"['346.40', '23.10', '0.50', '28'] -> 4 елемента"
100 грама съдържат:,"['369', '6', '75', '4'] -> 4 елемента"
100 грама съдържат:,"['347', '24', '0.50', '28'] -> 4 елемента"
100 грама съдържат:,"['346.40', '23.10', '0.50', '28'] -> 4 елемента"
100 грама съдържат:,"['68', '4', '9', '0'] -> 4 елемента"
100 грама съдържат:,"['369', '6', '75', '4'] -> 4 елемента"
100 грама съдържат:,"['350', '8', '72', '1'] -> 4 елемента"
100 грама съдържат:,"['622', '31', '4', '52'] -> 4 елемента"
100 грама съдържат:,"['298', '23', '35', '0'] -> 4 елемента"
100 грама съдържат:,"['293', '26', '29', '1'] -> 4 елемента"
100 грама съдържат:,"['383', '24', '63', '1'] -> 4 елемента"
100 грама съдържат:,"['360', '13', '69', '1'] -> 4 елемента"
100 грама съдържат:,"['318', '23', '56', '1'] -> 4 елемента"
100 грама съдържат:,"['216', '5', '44', '2'] -> 4 елемента"
100 грама съдържат:,"['39', '3', '2', '1'] -> 4 елемента"
100 грама съдържат:,"['60', '0.10', '12', '1'] -> 4 елемента"
100 грама съдържат:,"['508', '20', '58', '14'] -> 4 елемента"
100 грама съдържат:,"['504', '20.20', '25.10', '30.70'] -> 4 елемента"
100 грама съдържат:,"['204', '16', '1', '15'] -> 4 елемента"
100 грама съдържат:,"['628', '21.40', '17.50', '51'] -> 4 елемента"
100 грама съдържат:,"['348', '10', '65', '2.50'] -> 4 елемента"
100 грама съдържат:,"['614', '24', '13.70', '48.80'] -> 4 елемента"
100 грама съдържат:,"['621', '18.30', '28.90', '42'] -> 4 елемента"
100 грама съдържат:,"['360', '14', '23', '26'] -> 4 елемента"
100 грама съдържат:,"['95', '17', '1', '2'] -> 4 елемента"
100 грама съдържат:,"['150', '5.20', '28', '0.50'] -> 4 елемента"
100 грама съдържат:,"['398', '18', '14', '31'] -> 4 елемента"
100 грама съдържат:,"['40', '1', '8', '0'] -> 4 елемента"
100 грама съдържат:,"['275', '9', '14', '21'] -> 4 елемента"
100 грама съдържат:,"['45', '0', '11', '0'] -> 4 елемента"
100 грама съдържат:,"['325', '13', '19', '23'] -> 4 елемента"
100 грама съдържат:,"['899', '0', '0', '82.35'] -> 4 елемента"
100 грама съдържат:,"['318', '23', '47', '0'] -> 4 елемента"
100 грама съдържат:,"['280', '19', '34', '1'] -> 4 елемента"
100 грама съдържат:,"['77', '10', '3.20', '0'] -> 4 елемента"
100 грама съдържат:,"['371', '6.10', '68', '7.90'] -> 4 елемента"
100 грама съдържат:,"['166', '0', '38', '0'] -> 4 елемента"
100 грама съдържат:,"['309', '2.30', '79.50', '0.10'] -> 4 елемента"
100 грама съдържат:,"['260', '2.20', '78.90', '0.70'] -> 4 елемента"
100 грама съдържат:,"['82', '8.20', '8.80', '0'] -> 4 елемента"
100 грама съдържат:,"['345', '12', '65', '2.80'] -> 4 елемента"
100 грама съдържат:,"['578', '7', '39', '42'] -> 4 елемента"
100 грама съдържат:,"['359', '5.50', '80', '0'] -> 4 елемента"
100 грама съдържат:,"['348', '12.50', '73', '0.70'] -> 4 елемента"
100 грама съдържат:,"['524', '10.10', '67.70', '18'] -> 4 елемента"
100 грама съдържат:,"['168', '2.10', '3', '16.40'] -> 4 елемента"
100 грама съдържат:,"['465', '6.20', '70', '17'] -> 4 елемента"
100 грама съдържат:,"['16', '0.35', '2.73', '0.16'] -> 4 елемента"
100 грама съдържат:,"['900', '0', '0', '100'] -> 4 елемента"
100 грама съдържат:,"['339', '3.20', '81.30', '0.10'] -> 4 елемента"
100 грама съдържат:,"['379', '9', '69', '2.40'] -> 4 елемента"
100 грама съдържат:,"['175', '0.20', '43.30', '0'] -> 4 елемента"
100 грама съдържат:,"['619', '30.80', '4.70', '51.50'] -> 4 елемента"
100 грама съдържат:,"['45', '0.40', '10.30', '0.10'] -> 4 елемента"
100 грама съдържат:,"['396', '5.90', '55', '14.90'] -> 4 елемента"
100 грама съдържат:,"['405', '9.40', '60.30', '11.80'] -> 4 елемента"
100 грама съдържат:,"['241', '9', '31', '9'] -> 4 елемента"
100 грама съдържат:,"['135', '11', '7', '7'] -> 4 елемента"
100 грама съдържат:,"['403', '6.60', '38.44', '24.75'] -> 4 елемента"
100 грама съдържат:,"['164', '0', '40.80', '0'] -> 4 елемента"
100 грама съдържат:,"['422', '9.40', '49.90', '18.70'] -> 4 елемента"
100 грама съдържат:,"['189', '11.80', '1.40', '15.10'] -> 4 елемента"
100 грама съдържат:,"['192', '28.42', '3.77', '6.26'] -> 4 елемента"
100 грама съдържат:,"['83', '0.07', '2.58', '0'] -> 4 елемента"
100 грама съдържат:,"['21', '0.90', '5.10', '0.10'] -> 4 елемента"
100 грама съдържат:,"['115', '0.84', '6.26', '10.68'] -> 4 елемента"
100 грама съдържат:,"['260', '13.14', '74.24', '4.90'] -> 4 елемента"
100 грама съдържат:,"['354', '8.34', '81.17', '0.41'] -> 4 елемента"
100 грама съдържат:,"['342', '7.60', '77', '0.40'] -> 4 елемента"
100 грама съдържат:,"['471', '9', '67.80', '18.20'] -> 4 елемента"
100 грама съдържат:,"['214', '15.40', 'Няма', 'данни', '16.90'] -> 5 елемента"
100 грама съдържат:,"['660', '15', '16.40', '57'] -> 4 елемента"
100 грама съдържат:,"['560', '6.80', '52.50', '35.50'] -> 4 елемента"
100 грама съдържат:,"['535', '4.60', '63', '29.50'] -> 4 елемента"
100 грама съдържат:,"['574', '15.31', '32.69', '46.35'] -> 4 елемента"
100 грама съдържат:,"['337', '17.60', '10.20', '25.10'] -> 4 елемента"
100 грама съдържат:,"['20', '1.88', '4.13', '0.08'] -> 4 елемента"
100 грама съдържат:,"['36', '2.55', '7.10', '0.50'] -> 4 елемента"
100 грама съдържат:,"['354', '3.33', '15.23', '33.49'] -> 4 елемента"
100 грама съдържат:,"['214', '16.37', '0.17', '15.95'] -> 4 елемента"
100 грама съдържат:,"['531', '5.20', '61.60', '29.20'] -> 4 елемента"
100 грама съдържат:,"['61', '3.47', '4.66', '3.25'] -> 4 елемента"
100 грама съдържат:,"['336', '21.85', '2.40', '25.90'] -> 4 елемента"
100 грама съдържат:,"['103', '6.80', '8.40', '4.70'] -> 4 елемента"
100 грама съдържат:,"['189', '29.06', 'Няма', 'данни', '8.05'] -> 5 елемента"
100 грама съдържат:,"['385', '6.40', '82.60', '3.20'] -> 4 елемента"
100 грама съдържат:,"['353', '8.40', '72.20', '3.40'] -> 4 елемента"
100 грама съдържат:,"['305', '25.16', '0', '21.92'] -> 4 елемента"
100 грама съдържат:,"['31', '3.20', '4.30', '0.10'] -> 4 елемента"
100 грама съдържат:,"['435', '8.80', '64', '16'] -> 4 елемента"
100 грама съдържат:,"['88', '3.02', '20.71', '0.78'] -> 4 елемента"
100 грама съдържат:,"['18', '0.88', '3.89', '0.20'] -> 4 елемента"
100 грама съдържат:,"['107', '21.28', '0', '1.76'] -> 4 елемента"
100 грама съдържат:,"['18', '0.95', '4.01', '0.11'] -> 4 елемента"
100 грама съдържат:,"['428', '7.70', '71.90', '12.20'] -> 4 елемента"
100 грама съдържат:,"['190', '26.63', '0', '8.47'] -> 4 елемента"
100 грама съдържат:,"['110', '10.25', '8.58', '4.73'] -> 4 елемента"
100 грама съдържат:,"['172', '24.47', '0', '7.51'] -> 4 елемента"
